test,device,prefill_token_speed,prefill_capacity,prefill_energy,decode_token_speed,decode_capacity,decode_energy
mnn-llama3_2-1b-CPU,mate40pro,98.7884,4.7105,70.7687,24.0094,23.3748,350.9249
mnn-qwen2_5-1_5b-CPU,mate40pro,71.0287,6.7073,98.1728,18.4710,30.4918,445.2506
ours-llama3_2-1b-CPU,mate40pro,133.2753,3.6960,55.4793,23.2066,19.3492,290.1936
ours-qwen2_5-1_5b-CPU,mate40pro,96.6495,5.1865,74.0969,18.3380,24.4317,348.4680
mnn-llama3_2-1b-CPU,meizu21,162.7771,2.6914,38.2276,29.4836,18.3222,260.0450
mnn-qwen2_5-1_5b-CPU,meizu21,132.4398,3.6552,53.3376,24.4095,24.8309,362.0057
ours-llama3_2-1b-CPU,meizu21,263.3902,2.6731,37.5441,33.1529,18.5222,259.6088
ours-qwen2_5-1_5b-CPU,meizu21,193.9649,3.6783,52.6714,24.5699,23.5772,336.9557
mnn-llama3_2-1b-CPU,xiaomi15pro,244.5645,1.7301,26.1514,64.6632,9.9552,150.0857
mnn-qwen2_5-1_5b-CPU,xiaomi15pro,187.0234,2.3186,34.8913,48.6266,12.8239,192.5632
ours-llama3_2-1b-CPU,xiaomi15pro,503.5262,0.8596,12.8784,66.3106,8.9191,133.7064
ours-qwen2_5-1_5b-CPU,xiaomi15pro,357.4320,1.2364,18.4086,50.1842,11.7591,175.1778
mnn-llama3_2-1b-CPU,v30pro,97.7009,4.4265,61.3439,27.1339,20.2298,280.2101
mnn-qwen2_5-1_5b-CPU,v30pro,73.9108,5.4146,80.9263,21.1968,23.6276,352.4300
ours-llama3_2-1b-CPU,v30pro,119.0801,3.2184,48.2887,25.0845,14.0896,211.6792
ours-qwen2_5-1_5b-CPU,v30pro,82.0770,4.8798,70.4098,19.5152,18.6394,269.1420
